2024-09-21 18-40-32 top info:
Tasks: 623 total,   1 running, 436 sleeping,   0 stopped,   1 zombie
Mem:   5792924k total,  5540920k used,   252004k free,     8264k buffers
Swap:  2621436k total,   390060k used,  2231376k free,  1453676k cached
800%cpu 162%user   0%nice  79%sys 545%idle   0%iow  14%irq   0%sirq   0%host
  PID USER         PR  NI VIRT  RES  SHR S[%CPU] %MEM     TIME+ ARGS                       
10797 u0_a201      10 -10  11G 1.2G 534M S  141  23.3 125:35.20 com.camelgames.aoz.debuglz4
20880 shell        20   0  12M 4.2M 3.2M R 20.6   0.0   0:00.05 top -b -n 1 -d 1
  720 system       -2   0 2.1G  26M  20M S 13.7   0.4  56:25.14 surfaceflinger
  717 audioserver  20   0 167M 7.7M 4.0M S 10.3   0.1  29:48.07 audioserver
  678 system       20   0  59M 5.4M 4.1M S 10.3   0.0  36:50.29 android.hardware.sensors@1.0-service
17073 root         20   0    0    0    0 I  6.8   0.0   0:25.40 [kworker/u16:11]
 1589 system       18  -2 4.7G 296M 296M S  6.8   5.2 157:08.82 system_server
  671 system       -3   0  56M 9.4M 6.7M S  6.8   0.1  17:40.48 android.hardware.graphics.composer@2.2-service
  661 audioserver  20   0  44M 4.4M 2.3M S  6.8   0.0  20:38.06 android.hardware.audio@2.0-service
17034 root         20   0    0    0    0 I  3.4   0.0   0:29.47 [kworker/u16:3]
  442 root         RT   0    0    0    0 S  3.4   0.0   8:30.98 [crtc_commit:110]
   62 root         20   0    0    0    0 S  3.4   0.0   1:13.29 [rcuop/6]
    8 root         20   0    0    0    0 S  3.4   0.0   3:28.88 [ksoftirqd/0]
20837 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/4:1H]
20809 root         20   0    0    0    0 I  0.0   0.0   0:00.00 [kworker/1:4]
20808 root         20   0    0    0    0 I  0.0   0.0   0:00.00 [kworker/1:3]
20807 root         20   0    0    0    0 I  0.0   0.0   0:00.00 [kworker/1:1]
20376 root         20   0    0    0    0 I  0.0   0.0   0:00.00 [kworker/7:2]
20261 root         20   0    0    0    0 I  0.0   0.0   0:00.06 [kworker/0:2]
19902 root          0 -20    0    0    0 I  0.0   0.0   0:00.02 [kworker/0:0H]
19885 root         20   0    0    0    0 I  0.0   0.0   0:00.03 [kworker/6:0]
19874 root         20   0    0    0    0 I  0.0   0.0   0:00.01 [kworker/0:0]
19751 root         20   0    0    0    0 I  0.0   0.0   0:06.17 [kworker/u16:1]
19622 root          0 -20    0    0    0 I  0.0   0.0   0:00.04 [kworker/1:0H]
19609 root          0 -20    0    0    0 I  0.0   0.0   0:00.03 [kworker/0:2H]
19575 root         20   0    0    0    0 I  0.0   0.0   0:00.00 [kworker/6:1]
19511 root         20   0    0    0    0 I  0.0   0.0   0:00.06 [kworker/4:4]
19489 root         20   0    0    0    0 I  0.0   0.0   0:02.42 [kworker/1:0]
19433 root          0 -20    0    0    0 I  0.0   0.0   0:00.14 [kworker/4:2H]
19379 root         20   0    0    0    0 I  0.0   0.0   0:21.74 [kworker/u16:0]
19277 root         20   0    0    0    0 I  0.0   0.0   0:00.00 [kworker/7:1]
19243 u0_a28       20   0 4.2G 114M  92M S  0.0   2.0   0:01.04 com.android.camera
19087 root          0 -20    0    0    0 I  0.0   0.0   0:00.20 [kworker/1:2H]
19026 root         20   0    0    0    0 I  0.0   0.0   0:00.07 [kworker/4:0]
18933 root          0 -20    0    0    0 I  0.0   0.0   0:00.08 [kworker/4:0H]
18837 root         20   0    0    0    0 I  0.0   0.0   0:00.10 [kworker/7:0]
18617 root         20   0    0    0    0 I  0.0   0.0   0:00.95 [kworker/0:3]
18107 root          0 -20    0    0    0 I  0.0   0.0   0:00.03 [kworker/6:1H]
18043 updater      20   0 4.2G 111M  90M S  0.0   1.9   0:00.91 com.android.updater
18014 root         20   0    0    0    0 I  0.0   0.0   0:00.23 [kworker/4:1]
17509 root         20   0    0    0    0 I  0.0   0.0   0:00.97 [kworker/0:1]
17139 u0_a189      20   0 4.2G  90M  71M S  0.0   1.5   0:00.24 com.google.process.gservices
17103 u0_a189      20   0 4.6G 178M 152M S  0.0   3.1   0:03.87 com.google.android.gms.unstable
17056 system       20   0 4.3G 155M 127M S  0.0   2.7   0:00.70 com.android.settings
17023 root         20   0    0    0    0 I  0.0   0.0   0:04.94 [kworker/1:2]
16989 root          0 -20    0    0    0 I  0.0   0.0   0:00.54 [kworker/0:1H]
16526 root         20   0    0    0    0 I  0.0   0.0   0:00.24 [kworker/6:2]
13163 system       20   0 4.2G 113M  92M S  0.0   2.0   0:00.36 com.android.settings:remote
12449 u0_a163      20   0 4.2G  97M  76M S  0.0   1.7   0:00.24 com.miui.weather2
12221 root         20   0  10M 3.2M 2.5M S  0.0   0.0   0:00.99 ip6tables-restore --noflush -w -v
12220 root         20   0  10M 3.3M 2.7M S  0.0   0.0   0:02.03 iptables-restore --noflush -w -v
11583 u0_a116      20   0 4.3G 109M  85M S  0.0   1.9   0:15.69 com.miui.guardprovider
 9920 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/2:0H]
 9611 u0_a192      20   0 4.4G 180M 137M S  0.0   3.1   0:10.61 com.android.vending
 9557 root         20   0    0    0    0 I  0.0   0.0   0:00.00 [kworker/2:0]
 9536 root          0 -20    0    0    0 I  0.0   0.0   0:03.35 [kworker/u17:1]
 9225 root          0 -20    0    0    0 I  0.0   0.0   0:00.29 [kworker/2:1H]
 8213 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/3:2H]
 8179 u0_a189      20   0 4.2G  95M  76M S  0.0   1.6   0:00.37 com.google.process.gapps
 7953 root         20   0    0    0    0 I  0.0   0.0   0:00.03 [kworker/3:0]
 7665 root         20   0    0    0    0 I  0.0   0.0   0:00.02 [kworker/5:1]
 6587 root         20   0    0    0    0 I  0.0   0.0   0:00.32 [kworker/2:1]
 6527 root         20   0    0    0    0 S  0.0   0.0   1:45.16 [kworker/u16:5]
 2121 root         20   0    0    0    0 I  0.0   0.0   0:00.06 [kworker/5:3]
32737 root         20   0    0    0    0 I  0.0   0.0   0:00.48 [kworker/3:2]
27969 u0_a31       20   0 4.3G 126M 103M S  0.0   2.2   0:14.30 android.process.media
27692 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [dsi_err_workq]
11568 u0_a189      20   0 7.3G 217M 217M S  0.0   3.8   2:52.84 com.google.android.gms.persistent
 8284 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [wmi_rx_event_wo]
 8283 root         19  -1    0    0    0 S  0.0   0.0   1:47.41 [cds_ol_rx_threa]
