2024-09-21 18-37-11 top info:
Tasks: 619 total,   1 running, 435 sleeping,   0 stopped,   1 zombie
Mem:   5792924k total,  5573528k used,   219396k free,     8264k buffers
Swap:  2621436k total,   390108k used,  2231328k free,  1476872k cached
800%cpu 141%user   0%nice  66%sys 576%idle   0%iow  14%irq   3%sirq   0%host
  PID USER         PR  NI VIRT  RES  SHR S[%CPU] %MEM     TIME+ ARGS                       
10797 u0_a201      10 -10  11G 1.2G 534M S  137  23.3 120:56.02 com.camelgames.aoz.debuglz4
19980 shell        20   0  12M 4.1M 3.1M R 17.2   0.0   0:00.05 top -b -n 1 -d 1
  720 system       -2   0 2.1G  26M  20M S 17.2   0.4  55:56.42 surfaceflinger
  717 audioserver  20   0 167M 7.7M 4.0M S 10.3   0.1  29:29.61 audioserver
  678 system       RT   0  59M 5.4M 4.1M S 10.3   0.0  36:32.52 android.hardware.sensors@1.0-service
19379 root         20   0    0    0    0 I  6.8   0.0   0:19.23 [kworker/u16:0]
 1589 system       18  -2 4.7G 296M 296M S  6.8   5.2 156:49.42 system_server
  661 audioserver  20   0  44M 4.4M 2.3M S  6.8   0.0  20:26.53 android.hardware.audio@2.0-service
19489 root         20   0    0    0    0 I  3.4   0.0   0:01.92 [kworker/1:0]
 6527 root         20   0    0    0    0 I  3.4   0.0   1:45.00 [kworker/u16:5]
 2606 root         RT   0    0    0    0 S  3.4   0.0   6:04.13 [irq/66-90b6300.]
 2568 system       20   0  17M 5.1M 3.1M S  3.4   0.0  69:17.70 cnss_diag -q -f
  671 system       -3   0  56M 9.4M 6.7M S  3.4   0.1  17:29.22 android.hardware.graphics.composer@2.2-service
  443 root         RT   0    0    0    0 S  3.4   0.0   1:31.72 [crtc_event:110]
  242 root         -3   0    0    0    0 S  3.4   0.0  12:24.59 [kgsl_worker_thr]
   12 root         20   0    0    0    0 S  3.4   0.0   2:47.64 [rcuop/0]
19902 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/0:0H]
19885 root         20   0    0    0    0 I  0.0   0.0   0:00.01 [kworker/6:0]
19874 root         20   0    0    0    0 I  0.0   0.0   0:00.00 [kworker/0:0]
19813 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/4:1H]
19751 root         20   0    0    0    0 I  0.0   0.0   0:02.83 [kworker/u16:1]
19622 root          0 -20    0    0    0 I  0.0   0.0   0:00.04 [kworker/1:0H]
19609 root          0 -20    0    0    0 I  0.0   0.0   0:00.03 [kworker/0:2H]
19575 root         20   0    0    0    0 I  0.0   0.0   0:00.00 [kworker/6:1]
19511 root         20   0    0    0    0 I  0.0   0.0   0:00.06 [kworker/4:4]
19433 root          0 -20    0    0    0 I  0.0   0.0   0:00.11 [kworker/4:2H]
19277 root         20   0    0    0    0 I  0.0   0.0   0:00.00 [kworker/7:1]
19243 u0_a28       20   0 4.2G 114M  92M S  0.0   2.0   0:01.00 com.android.camera
19087 root          0 -20    0    0    0 I  0.0   0.0   0:00.11 [kworker/1:2H]
19053 root         20   0    0    0    0 I  0.0   0.0   0:00.04 [kworker/4:3]
19026 root         20   0    0    0    0 I  0.0   0.0   0:00.07 [kworker/4:0]
18933 root          0 -20    0    0    0 I  0.0   0.0   0:00.07 [kworker/4:0H]
18837 root         20   0    0    0    0 I  0.0   0.0   0:00.07 [kworker/7:0]
18617 root         20   0    0    0    0 I  0.0   0.0   0:00.82 [kworker/0:3]
18107 root          0 -20    0    0    0 I  0.0   0.0   0:00.03 [kworker/6:1H]
18043 updater      20   0 4.2G 111M  90M S  0.0   1.9   0:00.84 com.android.updater
18014 root         20   0    0    0    0 I  0.0   0.0   0:00.20 [kworker/4:1]
17509 root         20   0    0    0    0 I  0.0   0.0   0:00.97 [kworker/0:1]
17139 u0_a189      20   0 4.2G  90M  71M S  0.0   1.5   0:00.24 com.google.process.gservices
17103 u0_a189      20   0 4.6G 178M 152M S  0.0   3.1   0:03.71 com.google.android.gms.unstable
17073 root         20   0    0    0    0 I  0.0   0.0   0:19.79 [kworker/u16:11]
17056 system       20   0 4.3G 155M 127M S  0.0   2.7   0:00.70 com.android.settings
17034 root         20   0    0    0    0 S  0.0   0.0   0:24.20 [kworker/u16:3]
17023 root         20   0    0    0    0 I  0.0   0.0   0:04.68 [kworker/1:2]
16989 root          0 -20    0    0    0 I  0.0   0.0   0:00.46 [kworker/0:1H]
16526 root         20   0    0    0    0 I  0.0   0.0   0:00.24 [kworker/6:2]
13163 system       20   0 4.2G 113M  92M S  0.0   2.0   0:00.36 com.android.settings:remote
12449 u0_a163      20   0 4.2G  97M  76M S  0.0   1.7   0:00.24 com.miui.weather2
12221 root         20   0  10M 3.2M 2.5M S  0.0   0.0   0:00.97 ip6tables-restore --noflush -w -v
12220 root         20   0  10M 3.3M 2.7M S  0.0   0.0   0:01.97 iptables-restore --noflush -w -v
11583 u0_a116      20   0 4.3G 109M  85M S  0.0   1.9   0:15.69 com.miui.guardprovider
 9920 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/2:0H]
 9611 u0_a192      20   0 4.4G 180M 137M S  0.0   3.1   0:10.50 com.android.vending
 9557 root         20   0    0    0    0 I  0.0   0.0   0:00.00 [kworker/2:0]
 9536 root          0 -20    0    0    0 I  0.0   0.0   0:03.16 [kworker/u17:1]
 9225 root          0 -20    0    0    0 I  0.0   0.0   0:00.29 [kworker/2:1H]
 8213 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [kworker/3:2H]
 8179 u0_a189      20   0 4.2G  95M  76M S  0.0   1.6   0:00.37 com.google.process.gapps
 7953 root         20   0    0    0    0 I  0.0   0.0   0:00.03 [kworker/3:0]
 7665 root         20   0    0    0    0 I  0.0   0.0   0:00.02 [kworker/5:1]
 6587 root         20   0    0    0    0 I  0.0   0.0   0:00.32 [kworker/2:1]
 2121 root         20   0    0    0    0 I  0.0   0.0   0:00.06 [kworker/5:3]
32737 root         20   0    0    0    0 I  0.0   0.0   0:00.48 [kworker/3:2]
27969 u0_a31       20   0 4.3G 126M 103M S  0.0   2.2   0:14.29 android.process.media
27692 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [dsi_err_workq]
11568 u0_a189      20   0 7.2G 217M 217M S  0.0   3.8   2:51.50 com.google.android.gms.persistent
 8284 root          0 -20    0    0    0 I  0.0   0.0   0:00.00 [wmi_rx_event_wo]
 8283 root         19  -1    0    0    0 S  0.0   0.0   1:46.18 [cds_ol_rx_threa]
 8282 root         18  -2    0    0    0 S  0.0   0.0   0:38.52 [scheduler_threa]
 8278 wifi         20   0 2.0G  10M 7.7M S  0.0   0.1   0:05.98 wpa_supplicant -O/data/vendor/wifi/wpa/sockets -puse_p2p_group_interface=1 -dd -g@android:vendor_wpa_wlan0
32760 u0_a130      20   0 4.3G 163M 125M S  0.0   2.8   0:03.71 com.sohu.inputmethod.sogou.xiaomi
 6821 root          0 -20    0    0    0 I  0.0   0.0   0:00.23 [kworker/6:2H]
 6252 root          0 -20    0    0    0 I  0.0   0.0   0:00.76 [kworker/7:0H]
 5536 root          0 -20    0    0    0 I  0.0   0.0   0:00.38 [kworker/7:1H]
 4064 u0_a189      20   0 4.8G 201M 170M S  0.0   3.5   2:17.43 com.google.android.gms
18188 theme        20   0 4.2G 100M  79M S  0.0   1.7   0:03.83 com.android.thememanager
 3528 u0_a117      20   0 4.3G  97M  84M S  0.0   1.7   0:19.79 com.miui.systemAdSolution
27195 u0_a63       20   0 4.2G  79M  63M S  0.0   1.3   0:00.23 com.miui.player:stat
27122 u0_a63       20   0 4.3G  97M  78M S  0.0   1.7   0:19.00 com.miui.player
26719 u0_a91       30  10 4.4G  99M  99M S  0.0   1.7   2:51.20 com.xiaomi.market
