datatime,package,pid,pss,java_heap,native_heap,system
2024-09-21 18-46-17,com.camelgames.aoz.debuglz4,10797,1434.02,13.62,292.44,13.98
2024-09-21 18-46-18,com.camelgames.aoz.debuglz4,10797,1434.54,13.62,292.96,13.98
2024-09-21 18-46-18,com.camelgames.aoz.debuglz4,10797,1435.19,13.62,293.61,13.98
2024-09-21 18-46-18,com.camelgames.aoz.debuglz4,10797,1435.78,13.61,294.21,13.98
2024-09-21 18-46-19,com.camelgames.aoz.debuglz4,10797,1436.38,13.61,294.81,13.98
2024-09-21 18-46-19,com.camelgames.aoz.debuglz4,10797,1437.01,13.62,295.42,13.98
2024-09-21 18-46-20,com.camelgames.aoz.debuglz4,10797,1437.78,13.62,296.19,13.98
2024-09-21 18-46-20,com.camelgames.aoz.debuglz4,10797,1438.58,13.62,297.0,13.98
2024-09-21 18-46-21,com.camelgames.aoz.debuglz4,10797,1439.26,13.61,297.68,13.98
2024-09-21 18-46-21,com.camelgames.aoz.debuglz4,10797,1439.84,13.62,298.26,13.98
2024-09-21 18-46-22,com.camelgames.aoz.debuglz4,10797,1440.47,13.62,298.89,13.98
2024-09-21 18-46-22,com.camelgames.aoz.debuglz4,10797,1441.48,13.61,299.91,13.98
2024-09-21 18-46-22,com.camelgames.aoz.debuglz4,10797,1442.04,13.62,300.46,13.98
2024-09-21 18-46-23,com.camelgames.aoz.debuglz4,10797,1439.42,13.62,297.84,13.98
2024-09-21 18-46-23,com.camelgames.aoz.debuglz4,10797,1433.77,13.61,292.2,13.98
2024-09-21 18-46-24,com.camelgames.aoz.debuglz4,10797,1430.28,13.61,288.71,13.98
2024-09-21 18-46-24,com.camelgames.aoz.debuglz4,10797,1430.28,13.61,288.71,13.98
2024-09-21 18-46-25,com.camelgames.aoz.debuglz4,10797,1430.29,13.61,288.72,13.98
2024-09-21 18-46-25,com.camelgames.aoz.debuglz4,10797,1430.3,13.62,288.72,13.98
2024-09-21 18-46-26,com.camelgames.aoz.debuglz4,10797,1430.29,13.61,288.72,13.98
2024-09-21 18-46-26,com.camelgames.aoz.debuglz4,10797,1430.29,13.61,288.71,13.98
2024-09-21 18-46-26,com.camelgames.aoz.debuglz4,10797,1430.29,13.62,288.71,13.98
2024-09-21 18-46-27,com.camelgames.aoz.debuglz4,10797,1430.35,13.61,288.71,13.98
2024-09-21 18-46-27,com.camelgames.aoz.debuglz4,10797,1430.29,13.62,288.71,13.98
2024-09-21 18-46-28,com.camelgames.aoz.debuglz4,10797,1430.3,13.62,288.71,13.98
2024-09-21 18-46-28,com.camelgames.aoz.debuglz4,10797,1430.29,13.61,288.71,13.98
2024-09-21 18-46-29,com.camelgames.aoz.debuglz4,10797,1430.29,13.61,288.71,13.98
2024-09-21 18-46-29,com.camelgames.aoz.debuglz4,10797,1430.29,13.61,288.71,13.98
2024-09-21 18-46-30,com.camelgames.aoz.debuglz4,10797,1430.29,13.61,288.71,13.98
2024-09-21 18-46-30,com.camelgames.aoz.debuglz4,10797,1430.29,13.61,288.71,13.98
2024-09-21 18-46-30,com.camelgames.aoz.debuglz4,10797,1430.29,13.61,288.71,13.98
2024-09-21 18-46-31,com.camelgames.aoz.debuglz4,10797,1430.29,13.61,288.71,13.98
2024-09-21 18-46-31,com.camelgames.aoz.debuglz4,10797,1430.76,13.61,289.19,13.98
2024-09-21 18-46-32,com.camelgames.aoz.debuglz4,10797,1431.36,13.61,289.79,13.99
2024-09-21 18-46-32,com.camelgames.aoz.debuglz4,10797,1431.93,13.61,290.36,13.98
2024-09-21 18-46-33,com.camelgames.aoz.debuglz4,10797,1432.58,13.61,291.0,13.98
2024-09-21 18-46-33,com.camelgames.aoz.debuglz4,10797,1433.22,13.61,291.64,13.98
2024-09-21 18-46-34,com.camelgames.aoz.debuglz4,10797,1433.82,13.61,292.25,13.98
2024-09-21 18-46-34,com.camelgames.aoz.debuglz4,10797,1434.47,13.62,292.89,13.98
2024-09-21 18-46-34,com.camelgames.aoz.debuglz4,10797,1435.07,13.62,293.49,13.98
2024-09-21 18-46-35,com.camelgames.aoz.debuglz4,10797,1435.64,13.62,294.05,13.98
2024-09-21 18-46-35,com.camelgames.aoz.debuglz4,10797,1436.17,13.62,294.58,13.98
2024-09-21 18-46-36,com.camelgames.aoz.debuglz4,10797,1436.78,13.62,295.18,13.98
2024-09-21 18-46-36,com.camelgames.aoz.debuglz4,10797,1437.35,13.62,295.76,13.98
2024-09-21 18-46-37,com.camelgames.aoz.debuglz4,10797,1438.07,13.62,296.48,13.98
2024-09-21 18-46-37,com.camelgames.aoz.debuglz4,10797,1438.82,13.62,297.24,13.98
2024-09-21 18-46-37,com.camelgames.aoz.debuglz4,10797,1439.49,13.62,297.91,13.98
2024-09-21 18-46-38,com.camelgames.aoz.debuglz4,10797,1440.1,13.62,298.52,13.98
2024-09-21 18-46-38,com.camelgames.aoz.debuglz4,10797,1440.79,13.62,299.21,13.99
2024-09-21 18-46-39,com.camelgames.aoz.debuglz4,10797,1442.14,13.62,300.56,13.98
2024-09-21 18-46-39,com.camelgames.aoz.debuglz4,10797,1439.46,13.62,297.89,13.98
2024-09-21 18-46-40,com.camelgames.aoz.debuglz4,10797,1433.08,13.62,291.5,13.98
2024-09-21 18-46-40,com.camelgames.aoz.debuglz4,10797,1430.16,13.62,288.58,13.98
2024-09-21 18-46-41,com.camelgames.aoz.debuglz4,10797,1430.16,13.62,288.58,13.98
2024-09-21 18-46-41,com.camelgames.aoz.debuglz4,10797,1430.15,13.62,288.57,13.98
2024-09-21 18-46-42,com.camelgames.aoz.debuglz4,10797,1430.15,13.62,288.57,13.99
2024-09-21 18-46-42,com.camelgames.aoz.debuglz4,10797,1430.15,13.62,288.57,13.98
2024-09-21 18-46-42,com.camelgames.aoz.debuglz4,10797,1430.15,13.62,288.57,13.99
2024-09-21 18-46-43,com.camelgames.aoz.debuglz4,10797,1430.15,13.62,288.57,13.98
2024-09-21 18-46-43,com.camelgames.aoz.debuglz4,10797,1430.15,13.62,288.57,13.98
2024-09-21 18-46-44,com.camelgames.aoz.debuglz4,10797,1430.19,13.62,288.58,13.98
2024-09-21 18-46-44,com.camelgames.aoz.debuglz4,10797,1430.18,13.62,288.58,13.98
2024-09-21 18-46-45,com.camelgames.aoz.debuglz4,10797,1430.18,13.62,288.58,13.98
2024-09-21 18-46-45,com.camelgames.aoz.debuglz4,10797,1430.18,13.62,288.58,13.98
2024-09-21 18-46-46,com.camelgames.aoz.debuglz4,10797,1430.18,13.62,288.58,13.98
2024-09-21 18-46-46,com.camelgames.aoz.debuglz4,10797,1430.18,13.62,288.58,13.98
2024-09-21 18-46-46,com.camelgames.aoz.debuglz4,10797,1430.24,13.62,288.58,13.98
2024-09-21 18-46-47,com.camelgames.aoz.debuglz4,10797,1430.17,13.62,288.58,13.98
2024-09-21 18-46-47,com.camelgames.aoz.debuglz4,10797,1430.18,13.62,288.59,13.98
2024-09-21 18-46-48,com.camelgames.aoz.debuglz4,10797,1430.79,13.62,289.19,13.98
2024-09-21 18-46-48,com.camelgames.aoz.debuglz4,10797,1431.33,13.62,289.73,13.98
2024-09-21 18-46-49,com.camelgames.aoz.debuglz4,10797,1431.95,13.62,290.36,13.98
2024-09-21 18-46-49,com.camelgames.aoz.debuglz4,10797,1432.53,13.62,290.93,13.98
2024-09-21 18-46-50,com.camelgames.aoz.debuglz4,10797,1433.12,13.62,291.52,13.98
2024-09-21 18-46-50,com.camelgames.aoz.debuglz4,10797,1433.72,13.62,292.13,13.98
2024-09-21 18-46-50,com.camelgames.aoz.debuglz4,10797,1434.41,13.62,292.81,13.98
2024-09-21 18-46-51,com.camelgames.aoz.debuglz4,10797,1435.01,13.62,293.41,13.98
2024-09-21 18-46-51,com.camelgames.aoz.debuglz4,10797,1435.65,13.62,294.06,13.99
2024-09-21 18-46-52,com.camelgames.aoz.debuglz4,10797,1436.26,13.62,294.66,13.98
2024-09-21 18-46-52,com.camelgames.aoz.debuglz4,10797,1436.94,13.62,295.35,13.98
2024-09-21 18-46-53,com.camelgames.aoz.debuglz4,10797,1437.73,13.62,296.13,13.98
2024-09-21 18-46-53,com.camelgames.aoz.debuglz4,10797,1438.45,13.62,296.85,13.98
2024-09-21 18-46-54,com.camelgames.aoz.debuglz4,10797,1439.08,13.62,297.48,13.98
2024-09-21 18-46-54,com.camelgames.aoz.debuglz4,10797,1439.86,13.62,298.27,13.98
2024-09-21 18-46-55,com.camelgames.aoz.debuglz4,10797,1440.54,13.62,298.94,13.98
2024-09-21 18-46-55,com.camelgames.aoz.debuglz4,10797,1441.42,13.62,299.82,13.98
2024-09-21 18-46-55,com.camelgames.aoz.debuglz4,10797,1442.09,13.62,300.5,13.98
2024-09-21 18-46-56,com.camelgames.aoz.debuglz4,10797,1439.5,13.62,297.9,13.98
2024-09-21 18-46-56,com.camelgames.aoz.debuglz4,10797,1432.89,13.62,291.29,13.98
2024-09-21 18-46-57,com.camelgames.aoz.debuglz4,10797,1430.5,13.62,288.9,13.98
2024-09-21 18-46-57,com.camelgames.aoz.debuglz4,10797,1430.5,13.62,288.9,13.98
