datatime,package,pid,pss,java_heap,native_heap,system
2024-09-21 18-52-16,com.camelgames.aoz.debuglz4,10797,1435.64,14.59,292.99,13.98
2024-09-21 18-52-16,com.camelgames.aoz.debuglz4,10797,1435.22,13.62,293.52,13.98
2024-09-21 18-52-16,com.camelgames.aoz.debuglz4,10797,1435.78,13.62,294.08,13.98
2024-09-21 18-52-17,com.camelgames.aoz.debuglz4,10797,1436.48,13.62,294.72,13.98
2024-09-21 18-52-17,com.camelgames.aoz.debuglz4,10797,1437.19,13.62,295.49,13.98
2024-09-21 18-52-18,com.camelgames.aoz.debuglz4,10797,1437.82,13.62,296.13,13.98
2024-09-21 18-52-18,com.camelgames.aoz.debuglz4,10797,1438.59,13.62,296.9,13.98
2024-09-21 18-52-19,com.camelgames.aoz.debuglz4,10797,1439.36,13.62,297.67,13.98
2024-09-21 18-52-19,com.camelgames.aoz.debuglz4,10797,1440.04,13.62,298.35,13.98
2024-09-21 18-52-20,com.camelgames.aoz.debuglz4,10797,1440.67,13.62,298.98,13.99
2024-09-21 18-52-20,com.camelgames.aoz.debuglz4,10797,1441.46,13.62,299.77,13.98
2024-09-21 18-52-20,com.camelgames.aoz.debuglz4,10797,1442.38,13.62,300.7,13.98
2024-09-21 18-52-21,com.camelgames.aoz.debuglz4,10797,1440.33,13.62,298.64,13.98
2024-09-21 18-52-21,com.camelgames.aoz.debuglz4,10797,1435.32,13.62,293.64,13.99
2024-09-21 18-52-22,com.camelgames.aoz.debuglz4,10797,1431.0,13.62,289.32,13.99
2024-09-21 18-52-22,com.camelgames.aoz.debuglz4,10797,1430.56,13.62,288.87,13.98
2024-09-21 18-52-23,com.camelgames.aoz.debuglz4,10797,1430.56,13.62,288.87,13.98
2024-09-21 18-52-23,com.camelgames.aoz.debuglz4,10797,1430.56,13.62,288.87,13.98
2024-09-21 18-52-23,com.camelgames.aoz.debuglz4,10797,1430.56,13.62,288.87,13.98
2024-09-21 18-52-24,com.camelgames.aoz.debuglz4,10797,1430.56,13.62,288.87,13.98
2024-09-21 18-52-24,com.camelgames.aoz.debuglz4,10797,1430.57,13.62,288.87,13.98
2024-09-21 18-52-25,com.camelgames.aoz.debuglz4,10797,1430.56,13.62,288.87,13.98
2024-09-21 18-52-25,com.camelgames.aoz.debuglz4,10797,1430.55,13.62,288.87,13.99
2024-09-21 18-52-26,com.camelgames.aoz.debuglz4,10797,1430.56,13.62,288.87,13.98
2024-09-21 18-52-26,com.camelgames.aoz.debuglz4,10797,1430.56,13.62,288.87,13.98
2024-09-21 18-52-27,com.camelgames.aoz.debuglz4,10797,1430.56,13.62,288.88,13.98
2024-09-21 18-52-27,com.camelgames.aoz.debuglz4,10797,1430.56,13.62,288.88,13.99
