"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 24 08:48:30 CST 2023","Tue Oct 24 08:48:38 CST 2023","8142","tests","test_web","登录","","","错误密码",""
"passed","Tue Oct 24 08:48:30 CST 2023","Tue Oct 24 08:48:30 CST 2023","47","tests","test_case","","","","创建新的标签",""
