datetime,device_cpu_rate%,user%,system%,idle%,package,pid,pid_cpu%
2024-09-21 17-32-23,143,86,57,646,com.camelgames.aoz.debuglz4,10797,89.2
2024-09-21 17-32-28,133,100,33,650,com.camelgames.aoz.debuglz4,10797,83.3
2024-09-21 17-32-33,143,86,57,646,com.camelgames.aoz.debuglz4,10797,82.1
2024-09-21 17-32-38,120,86,34,662,com.camelgames.aoz.debuglz4,10797,86.2
2024-09-21 17-32-43,164,121,43,621,com.camelgames.aoz.debuglz4,10797,89.2
2024-09-21 17-32-48,147,104,43,636,com.camelgames.aoz.debuglz4,10797,89.2
2024-09-21 17-32-53,144,110,34,641,com.camelgames.aoz.debuglz4,10797,89.6
2024-09-21 17-32-58,193,107,86,579,com.camelgames.aoz.debuglz4,10797,89.6
2024-09-21 17-33-03,152,107,45,631,com.camelgames.aoz.debuglz4,10797,86.2
2024-09-21 17-33-08,162,114,48,624,com.camelgames.aoz.debuglz4,10797,79.3
2024-09-21 17-33-13,138,86,52,645,com.camelgames.aoz.debuglz4,10797,86.2
2024-09-21 17-33-18,168,111,57,604,com.camelgames.aoz.debuglz4,10797,85.7
2024-09-21 17-33-23,159,90,69,624,com.camelgames.aoz.debuglz4,10797,86.2
2024-09-21 17-33-28,119,69,50,669,com.camelgames.aoz.debuglz4,10797,75.0
2024-09-21 17-33-33,135,97,38,652,com.camelgames.aoz.debuglz4,10797,79.3
2024-09-21 17-33-38,138,79,59,641,com.camelgames.aoz.debuglz4,10797,82.7
2024-09-21 17-33-43,156,97,59,628,com.camelgames.aoz.debuglz4,10797,86.2
2024-09-21 17-33-48,131,90,41,652,com.camelgames.aoz.debuglz4,10797,82.7
2024-09-21 17-33-53,128,82,46,654,com.camelgames.aoz.debuglz4,10797,89.2
2024-09-21 17-33-58,165,117,48,621,com.camelgames.aoz.debuglz4,10797,89.6
2024-09-21 17-34-03,131,86,45,655,com.camelgames.aoz.debuglz4,10797,82.7
2024-09-21 17-34-08,150,114,36,636,com.camelgames.aoz.debuglz4,10797,92.8
2024-09-21 17-34-13,159,90,69,624,com.camelgames.aoz.debuglz4,10797,82.7
2024-09-21 17-34-18,134,72,62,652,com.camelgames.aoz.debuglz4,10797,86.2
2024-09-21 17-34-23,143,89,54,643,com.camelgames.aoz.debuglz4,10797,89.2
2024-09-21 17-34-28,107,80,27,677,com.camelgames.aoz.debuglz4,10797,80.0
2024-09-21 17-34-33,142,90,52,645,com.camelgames.aoz.debuglz4,10797,82.7
2024-09-21 17-34-38,139,89,50,650,com.camelgames.aoz.debuglz4,10797,89.2
2024-09-21 17-34-43,150,100,50,629,com.camelgames.aoz.debuglz4,10797,89.2
2024-09-21 17-34-48,157,93,64,632,com.camelgames.aoz.debuglz4,10797,85.7
2024-09-21 17-34-53,172,118,54,618,com.camelgames.aoz.debuglz4,10797,89.2
2024-09-21 17-34-58,190,114,76,593,com.camelgames.aoz.debuglz4,10797,86.2
2024-09-21 17-35-03,146,96,50,614,com.camelgames.aoz.debuglz4,10797,82.1
2024-09-21 17-35-08,114,76,38,676,com.camelgames.aoz.debuglz4,10797,75.8
2024-09-21 17-35-13,166,107,59,621,com.camelgames.aoz.debuglz4,10797,82.7
2024-09-21 17-35-18,182,89,93,604,com.camelgames.aoz.debuglz4,10797,85.7
2024-09-21 17-35-23,131,69,62,655,com.camelgames.aoz.debuglz4,10797,82.7
2024-09-21 17-35-28,163,97,66,628,com.camelgames.aoz.debuglz4,10797,79.3
2024-09-21 17-35-33,121,93,28,666,com.camelgames.aoz.debuglz4,10797,82.7
2024-09-21 17-35-38,159,100,59,628,com.camelgames.aoz.debuglz4,10797,82.7
2024-09-21 17-35-43,140,104,36,646,com.camelgames.aoz.debuglz4,10797,85.7
2024-09-21 17-35-48,135,97,38,652,com.camelgames.aoz.debuglz4,10797,86.2
2024-09-21 17-35-53,147,86,61,643,com.camelgames.aoz.debuglz4,10797,89.2
2024-09-21 17-35-58,161,107,54,625,com.camelgames.aoz.debuglz4,10797,85.7
2024-09-21 17-36-03,159,97,62,624,com.camelgames.aoz.debuglz4,10797,103
2024-09-21 17-36-08,147,93,54,632,com.camelgames.aoz.debuglz4,10797,89.2
2024-09-21 17-36-13,129,86,43,657,com.camelgames.aoz.debuglz4,10797,85.7
2024-09-21 17-36-18,146,89,57,636,com.camelgames.aoz.debuglz4,10797,85.7
2024-09-21 17-36-23,140,100,40,647,com.camelgames.aoz.debuglz4,10797,83.3
2024-09-21 17-36-28,173,128,45,586,com.camelgames.aoz.debuglz4,10797,86.2
2024-09-21 17-36-33,161,111,50,621,com.camelgames.aoz.debuglz4,10797,82.1
2024-09-21 17-36-38,117,72,45,672,com.camelgames.aoz.debuglz4,10797,82.7
2024-09-21 17-36-43,141,107,34,641,com.camelgames.aoz.debuglz4,10797,79.3
2024-09-21 17-36-48,143,104,39,646,com.camelgames.aoz.debuglz4,10797,85.7
2024-09-21 17-36-53,183,117,66,603,com.camelgames.aoz.debuglz4,10797,86.2
2024-09-21 17-36-58,128,90,38,659,com.camelgames.aoz.debuglz4,10797,82.7
2024-09-21 17-37-03,119,100,19,671,com.camelgames.aoz.debuglz4,10797,80.6
2024-09-21 17-37-08,121,83,38,666,com.camelgames.aoz.debuglz4,10797,89.6
2024-09-21 17-37-13,148,93,55,638,com.camelgames.aoz.debuglz4,10797,79.3
2024-09-21 17-37-18,138,93,45,645,com.camelgames.aoz.debuglz4,10797,89.6
2024-09-21 17-37-23,111,68,43,668,com.camelgames.aoz.debuglz4,10797,89.2
2024-09-21 17-37-28,162,110,52,624,com.camelgames.aoz.debuglz4,10797,79.3
2024-09-21 17-37-33,165,104,61,621,com.camelgames.aoz.debuglz4,10797,82.1
2024-09-21 17-37-38,180,97,83,607,com.camelgames.aoz.debuglz4,10797,100
2024-09-21 17-37-43,138,93,45,648,com.camelgames.aoz.debuglz4,10797,82.7
2024-09-21 17-37-48,183,117,66,607,com.camelgames.aoz.debuglz4,10797,86.2
2024-09-21 17-37-53,148,93,55,638,com.camelgames.aoz.debuglz4,10797,86.2
2024-09-21 17-37-58,197,128,69,590,com.camelgames.aoz.debuglz4,10797,93.1
2024-09-21 17-38-03,155,107,48,631,com.camelgames.aoz.debuglz4,10797,86.2
2024-09-21 17-38-08,127,72,55,659,com.camelgames.aoz.debuglz4,10797,82.7
2024-09-21 17-38-13,143,89,54,643,com.camelgames.aoz.debuglz4,10797,82.1
2024-09-21 17-38-18,155,121,34,631,com.camelgames.aoz.debuglz4,10797,89.6
2024-09-21 17-38-23,120,86,34,666,com.camelgames.aoz.debuglz4,10797,82.7
2024-09-21 17-38-28,149,90,59,634,com.camelgames.aoz.debuglz4,10797,82.7
2024-09-21 17-38-33,168,93,75,618,com.camelgames.aoz.debuglz4,10797,89.2
2024-09-21 17-38-38,179,129,50,600,com.camelgames.aoz.debuglz4,10797,78.5
2024-09-21 17-38-43,176,121,55,610,com.camelgames.aoz.debuglz4,10797,86.2
2024-09-21 17-38-48,153,110,43,633,com.camelgames.aoz.debuglz4,10797,80.0
2024-09-21 17-38-53,172,110,62,614,com.camelgames.aoz.debuglz4,10797,82.7
2024-09-21 17-38-58,128,83,45,659,com.camelgames.aoz.debuglz4,10797,86.2
2024-09-21 17-39-03,164,107,57,621,com.camelgames.aoz.debuglz4,10797,92.8
2024-09-21 17-39-08,121,83,38,662,com.camelgames.aoz.debuglz4,10797,82.7
2024-09-21 17-39-13,145,93,52,641,com.camelgames.aoz.debuglz4,10797,82.7
2024-09-21 17-39-18,117,86,31,672,com.camelgames.aoz.debuglz4,10797,79.3
2024-09-21 17-39-23,149,90,59,641,com.camelgames.aoz.debuglz4,10797,82.7
2024-09-21 17-39-28,154,111,43,629,com.camelgames.aoz.debuglz4,10797,89.2
2024-09-21 17-39-33,153,96,57,632,com.camelgames.aoz.debuglz4,10797,82.1
2024-09-21 17-39-38,162,107,55,624,com.camelgames.aoz.debuglz4,10797,86.2
2024-09-21 17-39-43,117,83,34,669,com.camelgames.aoz.debuglz4,10797,82.7
2024-09-21 17-39-48,113,90,23,677,com.camelgames.aoz.debuglz4,10797,73.3
2024-09-21 17-39-53,157,111,46,629,com.camelgames.aoz.debuglz4,10797,82.1
2024-09-21 17-39-58,148,72,76,638,com.camelgames.aoz.debuglz4,10797,82.7
2024-09-21 17-40-03,169,121,48,617,com.camelgames.aoz.debuglz4,10797,106
2024-09-21 17-40-08,157,96,61,632,com.camelgames.aoz.debuglz4,10797,85.7
2024-09-21 17-40-13,152,86,66,634,com.camelgames.aoz.debuglz4,10797,86.2
2024-09-21 17-40-18,162,107,55,621,com.camelgames.aoz.debuglz4,10797,86.2
2024-09-21 17-40-23,152,100,52,634,com.camelgames.aoz.debuglz4,10797,86.2
2024-09-21 17-40-28,159,90,69,624,com.camelgames.aoz.debuglz4,10797,89.6
2024-09-21 17-40-33,127,79,48,659,com.camelgames.aoz.debuglz4,10797,79.3
2024-09-21 17-40-38,133,100,33,657,com.camelgames.aoz.debuglz4,10797,86.6
2024-09-21 17-40-43,145,97,48,641,com.camelgames.aoz.debuglz4,10797,79.3
2024-09-21 17-40-48,135,83,52,648,com.camelgames.aoz.debuglz4,10797,86.2
2024-09-21 17-40-53,145,100,45,641,com.camelgames.aoz.debuglz4,10797,79.3
2024-09-21 17-40-58,124,72,52,662,com.camelgames.aoz.debuglz4,10797,86.2
2024-09-21 17-41-03,169,93,76,617,com.camelgames.aoz.debuglz4,10797,89.6
2024-09-21 17-41-08,128,82,46,657,com.camelgames.aoz.debuglz4,10797,82.1
2024-09-21 17-41-13,162,103,59,617,com.camelgames.aoz.debuglz4,10797,89.6
