datetime,device_cpu_rate%,user%,system%,idle%,package,pid,pid_cpu%
2024-09-21 17-42-16,164,114,50,625,com.camelgames.aoz.debuglz4,10797,89.2
2024-09-21 17-42-17,128,89,39,654,com.camelgames.aoz.debuglz4,10797,85.7
2024-09-21 17-42-18,165,117,48,621,com.camelgames.aoz.debuglz4,10797,86.2
2024-09-21 17-42-19,218,152,66,562,com.camelgames.aoz.debuglz4,10797,86.2
2024-09-21 17-42-20,117,77,40,670,com.camelgames.aoz.debuglz4,10797,76.6
2024-09-21 17-42-21,157,100,57,632,com.camelgames.aoz.debuglz4,10797,89.2
2024-09-21 17-42-22,136,93,43,650,com.camelgames.aoz.debuglz4,10797,82.1
2024-09-21 17-42-23,139,96,43,643,com.camelgames.aoz.debuglz4,10797,89.2
2024-09-21 17-42-24,145,100,45,638,com.camelgames.aoz.debuglz4,10797,86.2
2024-09-21 17-42-25,145,114,31,645,com.camelgames.aoz.debuglz4,10797,82.7
2024-09-21 17-42-26,140,90,50,647,com.camelgames.aoz.debuglz4,10797,90.0
2024-09-21 17-42-27,145,90,55,641,com.camelgames.aoz.debuglz4,10797,82.7
2024-09-21 17-42-28,140,90,50,647,com.camelgames.aoz.debuglz4,10797,83.3
2024-09-21 17-42-29,182,100,82,604,com.camelgames.aoz.debuglz4,10797,82.1
2024-09-21 17-42-30,138,90,48,641,com.camelgames.aoz.debuglz4,10797,82.7
2024-09-21 17-42-31,142,97,45,641,com.camelgames.aoz.debuglz4,10797,86.2
2024-09-21 17-42-32,136,94,42,652,com.camelgames.aoz.debuglz4,10797,77.4
2024-09-21 17-42-33,139,89,50,646,com.camelgames.aoz.debuglz4,10797,85.7
2024-09-21 17-42-34,190,104,86,593,com.camelgames.aoz.debuglz4,10797,110
2024-09-21 17-42-35,152,100,52,634,com.camelgames.aoz.debuglz4,10797,86.2
2024-09-21 17-42-36,142,83,59,641,com.camelgames.aoz.debuglz4,10797,82.7
2024-09-21 17-42-37,159,114,45,624,com.camelgames.aoz.debuglz4,10797,82.7
2024-09-21 17-42-38,134,93,41,655,com.camelgames.aoz.debuglz4,10797,79.3
