"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Oct 22 19:46:09 CST 2023","Sun Oct 22 19:46:09 CST 2023","114","tests","test_case","","","","创建新的标签",""
"passed","Sun Oct 22 19:46:09 CST 2023","Sun Oct 22 19:46:21 CST 2023","11872","","test_1_验证UI的用例","Sheet","","","验证UI的用例",""
