datetime,device_cpu_rate%,user%,system%,idle%,package,pid,pid_cpu%
2024-09-21 18-04-03,211,125,86,571,com.camelgames.aoz.debuglz4,10797,146
2024-09-21 18-04-04,210,141,69,572,com.camelgames.aoz.debuglz4,10797,137
2024-09-21 18-04-05,176,143,33,600,com.camelgames.aoz.debuglz4,10797,143
2024-09-21 18-04-06,226,153,73,557,com.camelgames.aoz.debuglz4,10797,133
2024-09-21 18-04-07,210,155,55,572,com.camelgames.aoz.debuglz4,10797,134
2024-09-21 18-04-08,176,155,21,607,com.camelgames.aoz.debuglz4,10797,137
2024-09-21 18-04-09,224,138,86,562,com.camelgames.aoz.debuglz4,10797,141
2024-09-21 18-04-10,217,155,62,566,com.camelgames.aoz.debuglz4,10797,134
2024-09-21 18-04-11,255,179,76,528,com.camelgames.aoz.debuglz4,10797,134
2024-09-21 18-04-12,208,179,29,575,com.camelgames.aoz.debuglz4,10797,142
2024-09-21 18-04-13,241,169,72,548,com.camelgames.aoz.debuglz4,10797,141
2024-09-21 18-04-14,241,179,62,541,com.camelgames.aoz.debuglz4,10797,141
2024-09-21 18-04-15,207,141,66,555,com.camelgames.aoz.debuglz4,10797,137
2024-09-21 18-04-16,241,193,48,541,com.camelgames.aoz.debuglz4,10797,127
2024-09-21 18-04-17,204,159,45,583,com.camelgames.aoz.debuglz4,10797,141
2024-09-21 18-04-18,193,131,62,586,com.camelgames.aoz.debuglz4,10797,134
2024-09-21 18-04-19,225,166,59,555,com.camelgames.aoz.debuglz4,10797,141
2024-09-21 18-04-20,207,147,60,580,com.camelgames.aoz.debuglz4,10797,143
2024-09-21 18-04-21,233,160,73,553,com.camelgames.aoz.debuglz4,10797,133
2024-09-21 18-04-22,183,128,55,600,com.camelgames.aoz.debuglz4,10797,134
2024-09-21 18-04-23,204,145,59,579,com.camelgames.aoz.debuglz4,10797,137
2024-09-21 18-04-24,233,170,63,550,com.camelgames.aoz.debuglz4,10797,170
2024-09-21 18-04-25,182,125,57,604,com.camelgames.aoz.debuglz4,10797,146
2024-09-21 18-04-26,169,124,45,617,com.camelgames.aoz.debuglz4,10797,134
2024-09-21 18-04-27,203,148,55,579,com.camelgames.aoz.debuglz4,10797,141
2024-09-21 18-04-28,166,139,27,621,com.camelgames.aoz.debuglz4,10797,115
2024-09-21 18-04-29,175,123,52,613,com.camelgames.aoz.debuglz4,10797,125
2024-09-21 18-04-30,211,159,52,576,com.camelgames.aoz.debuglz4,10797,134
2024-09-21 18-04-31,173,128,45,610,com.camelgames.aoz.debuglz4,10797,134
2024-09-21 18-04-32,200,153,47,583,com.camelgames.aoz.debuglz4,10797,136
2024-09-21 18-04-33,183,131,52,603,com.camelgames.aoz.debuglz4,10797,131
2024-09-21 18-04-34,197,127,70,587,com.camelgames.aoz.debuglz4,10797,133
2024-09-21 18-04-35,218,159,59,566,com.camelgames.aoz.debuglz4,10797,131
2024-09-21 18-04-36,204,145,59,579,com.camelgames.aoz.debuglz4,10797,141
2024-09-21 18-04-37,177,140,37,607,com.camelgames.aoz.debuglz4,10797,136
2024-09-21 18-04-38,172,131,41,610,com.camelgames.aoz.debuglz4,10797,137
2024-09-21 18-04-39,172,131,41,614,com.camelgames.aoz.debuglz4,10797,141
2024-09-21 18-04-40,204,159,45,583,com.camelgames.aoz.debuglz4,10797,134
2024-09-21 18-04-41,210,148,62,572,com.camelgames.aoz.debuglz4,10797,131
2024-09-21 18-04-42,186,141,45,600,com.camelgames.aoz.debuglz4,10797,131
2024-09-21 18-04-43,214,159,55,569,com.camelgames.aoz.debuglz4,10797,141
2024-09-21 18-04-44,182,141,41,603,com.camelgames.aoz.debuglz4,10797,137
2024-09-21 18-04-45,228,166,62,562,com.camelgames.aoz.debuglz4,10797,144
2024-09-21 18-04-46,224,169,55,559,com.camelgames.aoz.debuglz4,10797,148
2024-09-21 18-04-47,218,152,66,569,com.camelgames.aoz.debuglz4,10797,134
2024-09-21 18-04-48,230,160,70,553,com.camelgames.aoz.debuglz4,10797,133
2024-09-21 18-04-49,211,161,50,575,com.camelgames.aoz.debuglz4,10797,146
2024-09-21 18-04-50,162,123,39,626,com.camelgames.aoz.debuglz4,10797,125
2024-09-21 18-04-51,165,131,34,621,com.camelgames.aoz.debuglz4,10797,137
2024-09-21 18-04-52,220,167,53,563,com.camelgames.aoz.debuglz4,10797,130
2024-09-21 18-04-53,207,155,52,579,com.camelgames.aoz.debuglz4,10797,137
2024-09-21 18-04-54,207,157,50,577,com.camelgames.aoz.debuglz4,10797,126
2024-09-21 18-04-55,193,117,76,590,com.camelgames.aoz.debuglz4,10797,131
2024-09-21 18-04-56,197,159,38,586,com.camelgames.aoz.debuglz4,10797,127
2024-09-21 18-04-57,259,169,90,524,com.camelgames.aoz.debuglz4,10797,134
2024-09-21 18-04-58,176,128,48,607,com.camelgames.aoz.debuglz4,10797,131
2024-09-21 18-04-59,217,155,62,566,com.camelgames.aoz.debuglz4,10797,134
2024-09-21 18-05-00,183,138,45,600,com.camelgames.aoz.debuglz4,10797,134
2024-09-21 18-05-01,187,137,50,597,com.camelgames.aoz.debuglz4,10797,140
2024-09-21 18-05-02,248,186,62,538,com.camelgames.aoz.debuglz4,10797,144
2024-09-21 18-05-03,204,145,59,579,com.camelgames.aoz.debuglz4,10797,131
2024-09-21 18-05-04,220,148,72,566,com.camelgames.aoz.debuglz4,10797,134
2024-09-21 18-05-05,193,138,55,590,com.camelgames.aoz.debuglz4,10797,137
2024-09-21 18-05-06,214,152,62,566,com.camelgames.aoz.debuglz4,10797,141
2024-09-21 18-05-07,261,186,75,525,com.camelgames.aoz.debuglz4,10797,139
2024-09-21 18-05-08,207,157,50,577,com.camelgames.aoz.debuglz4,10797,136
2024-09-21 18-05-09,203,134,69,579,com.camelgames.aoz.debuglz4,10797,137
2024-09-21 18-05-10,179,124,55,603,com.camelgames.aoz.debuglz4,10797,141
2024-09-21 18-05-11,179,141,38,603,com.camelgames.aoz.debuglz4,10797,141
