datatime,package,pid,pss,java_heap,native_heap,system
2024-09-21 19-00-32,com.camelgames.aoz.debuglz4,10797,1441.4,15.48,296.34,14.19
2024-09-21 19-00-50,com.camelgames.aoz.debuglz4,10797,1441.98,14.66,297.72,14.19
2024-09-21 19-00-55,com.camelgames.aoz.debuglz4,10797,1432.99,14.48,288.86,14.2
2024-09-21 19-01-00,com.camelgames.aoz.debuglz4,10797,1433.83,14.48,289.75,14.19
2024-09-21 19-01-05,com.camelgames.aoz.debuglz4,10797,1441.5,14.48,297.43,14.19
2024-09-21 19-01-10,com.camelgames.aoz.debuglz4,10797,1432.9,14.48,288.84,14.2
2024-09-21 19-01-15,com.camelgames.aoz.debuglz4,10797,1433.49,14.48,289.42,14.19
2024-09-21 19-01-20,com.camelgames.aoz.debuglz4,10797,1441.29,14.48,297.22,14.2
2024-09-21 19-01-25,com.camelgames.aoz.debuglz4,10797,1433.08,14.48,289.0,14.19
2024-09-21 19-01-30,com.camelgames.aoz.debuglz4,10797,1433.49,14.46,289.43,14.19
2024-09-21 19-01-37,com.camelgames.aoz.debuglz4,10797,1443.9,14.49,299.82,14.19
2024-09-21 19-01-48,com.camelgames.aoz.debuglz4,10797,1435.19,14.54,291.06,14.19
2024-09-21 19-01-53,com.camelgames.aoz.debuglz4,10797,1442.88,14.46,298.82,14.19
2024-09-21 19-01-58,com.camelgames.aoz.debuglz4,10797,1432.86,14.46,288.8,14.19
2024-09-21 19-02-03,com.camelgames.aoz.debuglz4,10797,1434.77,14.46,290.71,14.19
2024-09-21 19-02-08,com.camelgames.aoz.debuglz4,10797,1442.51,14.46,298.46,14.19
2024-09-21 19-02-13,com.camelgames.aoz.debuglz4,10797,1433.29,14.46,289.23,14.2
2024-09-21 19-02-18,com.camelgames.aoz.debuglz4,10797,1434.93,14.46,290.88,14.19
2024-09-21 19-02-23,com.camelgames.aoz.debuglz4,10797,1442.9,14.46,298.85,14.19
2024-09-21 19-02-28,com.camelgames.aoz.debuglz4,10797,1432.84,14.46,288.79,14.19
2024-09-21 19-02-35,com.camelgames.aoz.debuglz4,10797,1436.87,14.5,292.77,14.19
2024-09-21 19-02-40,com.camelgames.aoz.debuglz4,10797,1442.98,14.46,298.93,14.19
2024-09-21 19-02-51,com.camelgames.aoz.debuglz4,10797,1436.59,14.55,292.45,14.19
2024-09-21 19-02-56,com.camelgames.aoz.debuglz4,10797,1444.81,14.46,300.75,14.19
2024-09-21 19-03-01,com.camelgames.aoz.debuglz4,10797,1433.01,14.46,288.96,14.19
2024-09-21 19-03-06,com.camelgames.aoz.debuglz4,10797,1436.15,14.46,292.09,14.19
2024-09-21 19-03-11,com.camelgames.aoz.debuglz4,10797,1444.79,14.46,300.74,14.2
2024-09-21 19-03-16,com.camelgames.aoz.debuglz4,10797,1432.97,14.46,288.92,14.19
2024-09-21 19-03-21,com.camelgames.aoz.debuglz4,10797,1436.09,14.46,292.03,14.19
2024-09-21 19-03-26,com.camelgames.aoz.debuglz4,10797,1444.79,14.46,300.74,14.19
2024-09-21 19-03-34,com.camelgames.aoz.debuglz4,10797,1432.91,14.5,288.82,14.2
2024-09-21 19-03-39,com.camelgames.aoz.debuglz4,10797,1438.7,14.46,294.63,14.19
2024-09-21 19-03-44,com.camelgames.aoz.debuglz4,10797,1433.05,14.46,288.99,14.19
2024-09-21 19-03-55,com.camelgames.aoz.debuglz4,10797,1438.48,14.54,294.35,14.19
2024-09-21 19-04-00,com.camelgames.aoz.debuglz4,10797,1432.88,14.46,288.81,14.19
2024-09-21 19-04-05,com.camelgames.aoz.debuglz4,10797,1432.86,14.46,288.81,14.19
2024-09-21 19-04-10,com.camelgames.aoz.debuglz4,10797,1438.12,14.46,294.06,14.19
2024-09-21 19-04-15,com.camelgames.aoz.debuglz4,10797,1434.06,14.46,290.0,14.19
2024-09-21 19-04-20,com.camelgames.aoz.debuglz4,10797,1433.06,14.46,289.0,14.19
2024-09-21 19-04-25,com.camelgames.aoz.debuglz4,10797,1438.04,14.46,293.98,14.2
2024-09-21 19-04-32,com.camelgames.aoz.debuglz4,10797,1432.3,14.51,288.2,14.19
2024-09-21 19-04-37,com.camelgames.aoz.debuglz4,10797,1432.27,14.48,288.2,14.19
2024-09-21 19-04-42,com.camelgames.aoz.debuglz4,10797,1439.54,14.46,295.47,14.19
2024-09-21 19-04-47,com.camelgames.aoz.debuglz4,10797,1432.86,14.45,288.81,14.19
2024-09-21 19-04-58,com.camelgames.aoz.debuglz4,10797,1439.06,14.54,294.9,14.19
2024-09-21 19-05-03,com.camelgames.aoz.debuglz4,10797,1433.09,14.46,289.01,14.19
2024-09-21 19-05-09,com.camelgames.aoz.debuglz4,10797,1433.09,14.46,289.02,14.2
2024-09-21 19-05-14,com.camelgames.aoz.debuglz4,10797,1439.09,14.46,295.02,14.19
2024-09-21 19-05-19,com.camelgames.aoz.debuglz4,10797,1432.92,14.46,288.85,14.19
2024-09-21 19-05-24,com.camelgames.aoz.debuglz4,10797,1432.91,14.46,288.84,14.19
2024-09-21 19-05-31,com.camelgames.aoz.debuglz4,10797,1441.5,14.5,297.4,14.19
