datetime,device_cpu_rate%,user%,system%,idle%,package,pid,pid_cpu%
2024-09-21 17-45-50,186,110,76,600,com.camelgames.aoz.debuglz4,10797,86.2
2024-09-21 17-45-51,169,110,59,617,com.camelgames.aoz.debuglz4,10797,89.6
2024-09-21 17-45-52,149,97,52,638,com.camelgames.aoz.debuglz4,10797,86.2
2024-09-21 17-45-53,157,96,61,629,com.camelgames.aoz.debuglz4,10797,85.7
2024-09-21 17-45-54,164,96,68,621,com.camelgames.aoz.debuglz4,10797,92.8
2024-09-21 17-45-55,115,79,36,671,com.camelgames.aoz.debuglz4,10797,78.5
2024-09-21 17-45-56,134,86,48,652,com.camelgames.aoz.debuglz4,10797,86.2
2024-09-21 17-45-57,124,76,48,659,com.camelgames.aoz.debuglz4,10797,93.1
2024-09-21 17-45-58,146,96,50,639,com.camelgames.aoz.debuglz4,10797,82.1
2024-09-21 17-45-59,110,71,39,675,com.camelgames.aoz.debuglz4,10797,78.5
2024-09-21 17-46-00,148,100,48,634,com.camelgames.aoz.debuglz4,10797,86.2
2024-09-21 17-46-01,141,100,41,645,com.camelgames.aoz.debuglz4,10797,86.2
2024-09-21 17-46-02,134,100,34,652,com.camelgames.aoz.debuglz4,10797,86.2
2024-09-21 17-46-03,152,107,45,638,com.camelgames.aoz.debuglz4,10797,86.2
2024-09-21 17-46-04,156,97,59,631,com.camelgames.aoz.debuglz4,10797,82.7
2024-09-21 17-46-05,169,110,59,610,com.camelgames.aoz.debuglz4,10797,75.8
2024-09-21 17-46-06,142,90,52,641,com.camelgames.aoz.debuglz4,10797,86.2
2024-09-21 17-46-07,135,66,69,652,com.camelgames.aoz.debuglz4,10797,86.2
2024-09-21 17-46-08,136,104,32,646,com.camelgames.aoz.debuglz4,10797,82.1
2024-09-21 17-46-09,155,100,55,607,com.camelgames.aoz.debuglz4,10797,86.2
2024-09-21 17-46-10,157,118,39,629,com.camelgames.aoz.debuglz4,10797,78.5
2024-09-21 17-46-11,141,107,34,641,com.camelgames.aoz.debuglz4,10797,86.2
2024-09-21 17-46-12,197,145,52,586,com.camelgames.aoz.debuglz4,10797,82.7
2024-09-21 17-46-13,245,138,107,538,com.camelgames.aoz.debuglz4,10797,93.1
2024-09-21 17-46-14,152,121,31,634,com.camelgames.aoz.debuglz4,10797,82.7
2024-09-21 17-46-15,122,93,29,668,com.camelgames.aoz.debuglz4,10797,89.2
2024-09-21 17-46-16,132,100,32,650,com.camelgames.aoz.debuglz4,10797,85.7
2024-09-21 17-46-17,183,117,66,600,com.camelgames.aoz.debuglz4,10797,89.6
2024-09-21 17-46-18,131,90,41,655,com.camelgames.aoz.debuglz4,10797,82.7
2024-09-21 17-46-19,143,89,54,643,com.camelgames.aoz.debuglz4,10797,89.2
2024-09-21 17-46-20,156,90,66,631,com.camelgames.aoz.debuglz4,10797,82.7
2024-09-21 17-46-21,168,114,54,621,com.camelgames.aoz.debuglz4,10797,89.2
2024-09-21 17-46-22,143,86,57,643,com.camelgames.aoz.debuglz4,10797,92.8
2024-09-21 17-46-25,148,86,62,638,com.camelgames.aoz.debuglz4,10797,86.2
2024-09-21 17-46-26,200,100,100,582,com.camelgames.aoz.debuglz4,10797,85.7
2024-09-21 17-46-27,145,107,38,641,com.camelgames.aoz.debuglz4,10797,86.2
2024-09-21 17-46-28,128,89,39,657,com.camelgames.aoz.debuglz4,10797,85.7
2024-09-21 17-46-29,176,121,55,607,com.camelgames.aoz.debuglz4,10797,79.3
2024-09-21 17-46-30,117,72,45,666,com.camelgames.aoz.debuglz4,10797,82.7
