2024-09-21 17-45-50 top info:
Tasks: 626 total,   3 running, 434 sleeping,   0 stopped,   1 zombie
Mem:   5792924k total,  5691108k used,   101816k free,     6216k buffers
Swap:  2621436k total,   390152k used,  2231284k free,  1453976k cached
800%cpu 110%user   0%nice  76%sys 600%idle   0%iow  10%irq   3%sirq   0%host
  PID USER         PR  NI VIRT  RES  SHR S[%CPU] %MEM     TIME+ ARGS                       
10797 u0_a201      10 -10  11G 1.2G 536M S 86.2  23.2  53:36.42 com.camelgames.aoz.debuglz4
16024 shell        20   0  12M 4.1M 3.1M R 20.6   0.0   0:00.05 top -b -n 1 -d 1
 2568 system       20   0  17M 5.1M 3.1M R 17.2   0.0  67:13.29 cnss_diag -q -f
  720 system       -2   0 2.1G  26M  20M S 13.7   0.4  49:01.13 surfaceflinger
  717 audioserver  20   0 167M 7.7M 4.0M S 10.3   0.1  24:53.00 audioserver
  678 system       20   0  59M 5.5M 4.1M S 10.3   0.0  32:05.84 android.hardware.sensors@1.0-service
 6527 root         20   0    0    0    0 I  6.8   0.0   0:43.93 [kworker/u16:5]
 1589 system       18  -2 4.7G 295M 295M S  6.8   5.2 151:51.54 system_server
  671 system       -3   0  55M 9.3M 6.7M S  6.8   0.1  14:46.18 android.hardware.graphics.composer@2.2-service
14432 root         20   0    0    0    0 I  3.4   0.0   0:16.88 [kworker/u16:9]
 8283 root         19  -1    0    0    0 S  3.4   0.0   1:28.38 [cds_ol_rx_threa]
 6129 mdnsr        20   0 5.6M 1.2M 548K S  3.4   0.0   3:54.12 mdnsd
 2606 root         RT   0    0    0    0 R  3.4   0.0   5:29.85 [irq/66-90b6300.]
  682 wifi         20   0  26M 8.4M 4.2M S  3.4   0.1  11:03.10 android.hardware.wifi@1.0-service
  661 audioserver  20   0  44M 4.4M 2.3M S  3.4   0.0  17:37.90 android.hardware.audio@2.0-service
  624 root         20   0    0    0    0 S  3.4   0.0   2:55.20 [qrtr_rx]
  443 root         RT   0    0    0    0 S  3.4   0.0   1:16.50 [crtc_event:110]
  442 root         RT   0    0    0    0 D  3.4   0.0   7:03.42 [crtc_commit:110]
  242 root         -3   0    0    0    0 S  3.4   0.0  10:49.71 [kgsl_worker_thr]
15965 root         20   0    0    0    0 I  0.0   0.0   0:00.00 [kworker/1:3]
15863 root          0 -20    0    0    0 I  0.0   0.0   0:00.02 [kworker/0:1H]
15835 root         20   0    0    0    0 I  0.0   0.0   0:00.00 [kworker/7:0]
